group	name1	Targets_Sequences	logP
GP5D	Fosl2(bZIP)	9.94	128.1
GP5D	Fra1(bZIP)	12.57	126.6
GP5D	JunB(bZIP)	12.44	119
GP5D	Fra2(bZIP)	11.23	113.4
GP5D	BATF(bZIP)	13.15	112.2
GP5D	Fos(bZIP)	12.44	111
GP5D	Atf3(bZIP)	13.21	109
GP5D	Fli1(ETS)	24.95	68.37
GP5D	Foxa2(Forkhead)	11.48	58.26
GP5D	ETS1(ETS)	21.1	57.12
GP5D	Etv2(ETS)	17.83	50.63
GP5D	Fox:Ebox(Forkhead,bHLH)	13.15	48.98
GP5D	FOXA1(Forkhead)	13.73	39.55
GP5D	FOXA1(Forkhead)	11.8	38.22
GP5D	FOXM1(Forkhead)	12.19	38.04
GP5D	Sox3(HMG)	16.23	12.07
GP5D	RUNX1(Runt)	10.46	7.437
GP5D	Zic2(C2H2_ZF)	7.57	6.733
GP5D	Sox21(HMG)	15.59	6.109
GP5D	RUNX(Runt)	7.57	5.652
GP5D	PU.1:IRF8(ETS:IRF)	2.25	3.929
GP5D	IRF8(IRF)	3.66	3.714
GP5D	CTCF(C2H2_ZF)	1.41	3.128
GP5D	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	0.96	2.323
GP5D	Oct4(POU,Homeobox)	2.82	2.019
GP5D	Oct6(POU,Homeobox)	1.73	0.2537
GP5D	ERE(NR),IR3	1.99	0.1962
GP5D	Brn1(POU,Homeobox)	1.03	0.06928
MCF7	ERE(NR),IR3	30.96	994.8
MCF7	FOXM1(Forkhead)	41.15	471.1
MCF7	FOXA1(Forkhead)	44.98	466.1
MCF7	Foxa2(Forkhead)	34.2	450.5
MCF7	FOXA1(Forkhead)	39.81	433.7
MCF7	Fox:Ebox(Forkhead,bHLH)	32.2	362.8
MCF7	Fos(bZIP)	21.79	270.2
MCF7	JunB(bZIP)	20.82	260.1
MCF7	Fra1(bZIP)	20.66	255.8
MCF7	Fra2(bZIP)	18.45	247.2
MCF7	Fosl2(bZIP)	14.78	243.5
MCF7	Atf3(bZIP)	22.22	239.8
MCF7	BATF(bZIP)	22.06	239.1
MCF7	Sox3(HMG)	21.9	9.626
MCF7	Sox21(HMG)	21.63	7.554
MCF7	Zic2(C2H2_ZF)	4.1	4.506
MCF7	RUNX(Runt)	6.9	1.529
MCF7	CTCF(C2H2_ZF)	0.65	1.182
MCF7	Oct4(POU,Homeobox)	5.88	0.9764
MCF7	Brn1(POU,Homeobox)	3.56	0.8765
MCF7	Etv2(ETS)	7.39	0.6295
MCF7	Oct6(POU,Homeobox)	4.58	0.5145
MCF7	ETS1(ETS)	7.87	0.5109
MCF7	Fli1(ETS)	7.61	0.1809
MCF7	RUNX1(Runt)	9.22	0.145
MCF7	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	1.62	0.09667
MCF7	PU.1:IRF8(ETS:IRF)	0.97	0.009615
MCF7	IRF8(IRF)	1.78	0.001403
HepG2	FOXA1(Forkhead)	54.72	687.4
HepG2	FOXA1(Forkhead)	50.21	681.6
HepG2	Foxa2(Forkhead)	42.7	678.4
HepG2	FOXM1(Forkhead)	50.26	668.6
HepG2	Fox:Ebox(Forkhead,bHLH)	43.99	635
HepG2	Fos(bZIP)	12.02	71.25
HepG2	ETS1(ETS)	17.01	66.87
HepG2	Fli1(ETS)	17.65	65.27
HepG2	BATF(bZIP)	12.55	62.09
HepG2	Fosl2(bZIP)	7.45	60.74
HepG2	JunB(bZIP)	11.03	60.65
HepG2	Atf3(bZIP)	12.43	60.55
HepG2	Fra2(bZIP)	9.56	58.12
HepG2	Fra1(bZIP)	10.56	57.84
HepG2	Etv2(ETS)	15.01	46.25
HepG2	Sox3(HMG)	29.21	32.01
HepG2	Sox21(HMG)	26.98	15.73
HepG2	CTCF(C2H2_ZF)	1.64	13.88
HepG2	RUNX(Runt)	8.97	8.129
HepG2	ERE(NR),IR3	3.34	7.798
HepG2	RUNX1(Runt)	11.61	3.304
HepG2	Oct4(POU,Homeobox)	6.1	2.681
HepG2	Zic2(C2H2_ZF)	3.4	2.551
HepG2	PU.1:IRF8(ETS:IRF)	1.7	0.3961
HepG2	IRF8(IRF)	2.7	0.0843
HepG2	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	1.47	0.07114
HepG2	Brn1(POU,Homeobox)	2.58	0.05297
HepG2	Oct6(POU,Homeobox)	3.11	0.003852
A549	Fra1(bZIP)	33.99	1000
A549	BATF(bZIP)	35.38	1000
A549	Fos(bZIP)	34.3	1000
A549	Atf3(bZIP)	35.8	1000
A549	Fra2(bZIP)	30.77	1000
A549	JunB(bZIP)	32.76	1000
A549	Fosl2(bZIP)	24.48	1000
A549	FOXA1(Forkhead)	33.39	423.2
A549	Foxa2(Forkhead)	24.62	410
A549	FOXA1(Forkhead)	29.51	405.8
A549	FOXM1(Forkhead)	29.44	386.3
A549	Fox:Ebox(Forkhead,bHLH)	26.06	385.3
A549	CTCF(C2H2_ZF)	5.41	174.5
A549	Etv2(ETS)	12.36	30.48
A549	Fli1(ETS)	14.22	29.17
A549	ETS1(ETS)	13.1	25.42
A549	Zic2(C2H2_ZF)	6.25	15.33
A549	RUNX(Runt)	8.38	15.08
A549	Sox3(HMG)	20.36	11.76
A549	RUNX1(Runt)	11.35	9.417
A549	ERE(NR),IR3	2.97	5.735
A549	Sox21(HMG)	18.37	3.248
A549	Oct4(POU,Homeobox)	4.99	1.218
A549	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	1.64	0.2578
A549	Brn1(POU,Homeobox)	2.51	0.04174
A549	PU.1:IRF8(ETS:IRF)	1.33	0.03741
A549	IRF8(IRF)	2.27	0.02398
A549	Oct6(POU,Homeobox)	3.11	0.000996
HCT116	Fra1(bZIP)	21.52	1000
HCT116	Fos(bZIP)	22.12	1000
HCT116	Fra2(bZIP)	20.1	1000
HCT116	JunB(bZIP)	21.14	1000
HCT116	BATF(bZIP)	22.38	1000
HCT116	Atf3(bZIP)	22.82	1000
HCT116	Fosl2(bZIP)	16.56	1000
HCT116	Fli1(ETS)	23.08	155.4
HCT116	ETS1(ETS)	18.44	129
HCT116	Etv2(ETS)	15.24	112.7
HCT116	RUNX(Runt)	8	58.47
HCT116	RUNX1(Runt)	10.42	56.95
HCT116	Foxa2(Forkhead)	6.84	41.33
HCT116	FOXA1(Forkhead)	9.36	25.47
HCT116	FOXM1(Forkhead)	7.8	19.62
HCT116	FOXA1(Forkhead)	7.46	18.93
HCT116	Fox:Ebox(Forkhead,bHLH)	6.96	16.76
HCT116	Sox3(HMG)	13.94	12.33
HCT116	Sox21(HMG)	14.28	11.51
HCT116	IRF8(IRF)	2.9	3.859
HCT116	PU.1:IRF8(ETS:IRF)	1.36	1.187
HCT116	Zic2(C2H2_ZF)	7.08	0.8474
HCT116	ERE(NR),IR3	1.92	0.8089
HCT116	CTCF(C2H2_ZF)	0.88	0.01989
HCT116	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	0.5	0.00311
HCT116	Oct4(POU,Homeobox)	1.74	0.001151
HCT116	Oct6(POU,Homeobox)	1.32	1e-06
HCT116	Brn1(POU,Homeobox)	0.82	0
ESC-H1	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	18.72	1000
ESC-H1	Oct4(POU,Homeobox)	18.74	856.5
ESC-H1	Oct6(POU,Homeobox)	15.36	661
ESC-H1	Sox3(HMG)	36.38	650.7
ESC-H1	Brn1(POU,Homeobox)	12	534.1
ESC-H1	Sox21(HMG)	34.14	512.6
ESC-H1	Fli1(ETS)	25.66	356.2
ESC-H1	Zic2(C2H2_ZF)	14.22	281
ESC-H1	ETS1(ETS)	21.92	270.9
ESC-H1	Etv2(ETS)	19.8	257.4
ESC-H1	Foxa2(Forkhead)	10.94	111.8
ESC-H1	Fox:Ebox(Forkhead,bHLH)	12.02	94.63
ESC-H1	FOXA1(Forkhead)	14.88	79.34
ESC-H1	FOXA1(Forkhead)	12.38	65.92
ESC-H1	FOXM1(Forkhead)	12.8	61.19
ESC-H1	Fosl2(bZIP)	3.86	36.36
ESC-H1	Fos(bZIP)	6.08	28.92
ESC-H1	Fra1(bZIP)	5.6	25.52
ESC-H1	Fra2(bZIP)	4.94	23.82
ESC-H1	Atf3(bZIP)	6.54	23.56
ESC-H1	JunB(bZIP)	5.36	21.74
ESC-H1	BATF(bZIP)	6.34	21.25
ESC-H1	PU.1:IRF8(ETS:IRF)	2.54	13.58
ESC-H1	IRF8(IRF)	3.72	5.831
ESC-H1	CTCF(C2H2_ZF)	1.36	5.123
ESC-H1	RUNX1(Runt)	8.78	3.724
ESC-H1	RUNX(Runt)	5.8	3.521
ESC-H1	ERE(NR),IR3	1.4	0.003771
H9	OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)	10.56	617.2
H9	Sox3(HMG)	29.22	320.4
H9	CTCF(C2H2_ZF)	5.7	317.8
H9	Zic2(C2H2_ZF)	14	288.5
H9	Sox21(HMG)	28.58	278.1
H9	Oct4(POU,Homeobox)	11.04	252.4
H9	Brn1(POU,Homeobox)	7.2	182.3
H9	Oct6(POU,Homeobox)	8.54	171
H9	Fli1(ETS)	16.42	60.74
H9	Foxa2(Forkhead)	9.96	56.28
H9	FOXA1(Forkhead)	12.62	46.46
H9	FOXA1(Forkhead)	14.32	40.64
H9	ETS1(ETS)	14.04	36.34
H9	PU.1:IRF8(ETS:IRF)	3.5	36.26
H9	FOXM1(Forkhead)	12.34	35.44
H9	Fox:Ebox(Forkhead,bHLH)	9.78	33.62
H9	Etv2(ETS)	11.52	22.74
H9	IRF8(IRF)	4.74	21.67
H9	Fosl2(bZIP)	3.02	15.94
