V1	Group
3493	WT_specific
5088	WT_specific
1087	WT_specific
5303	WT_specific
3678	WT_specific
96	WT_specific
11600	WT_specific
13359	WT_specific
12784	WT_specific
10523	WT_specific
8511	WT_specific
1046	WT_specific
3739	WT_specific
165	WT_specific
1307	WT_specific
11540	WT_specific
5897	WT_specific
15515	WT_specific
17135	WT_specific
4176	WT_specific
0	WT_specific
8157	WT_specific
4699	WT_specific
747	WT_specific
8063	WT_specific
1186	WT_specific
4400	WT_specific
7918	WT_specific
875	WT_specific
8581	WT_specific
0	WT_specific
4421	WT_specific
17240	WT_specific
15513	WT_specific
10038	WT_specific
5793	WT_specific
10561	WT_specific
0	WT_specific
12648	WT_specific
11032	WT_specific
10651	WT_specific
0	WT_specific
3790	WT_specific
7102	WT_specific
0	WT_specific
0	WT_specific
28124	WT_specific
0	WT_specific
0	WT_specific
992	WT_specific
9838	WT_specific
4315	WT_specific
9311	WT_specific
2514	WT_specific
10454	WT_specific
0	WT_specific
2123	WT_specific
162	WT_specific
1561	WT_specific
2350	WT_specific
2273	WT_specific
4049	WT_specific
1375	WT_specific
0	WT_specific
12981	WT_specific
7435	WT_specific
819	WT_specific
0	WT_specific
9618	WT_specific
10290	WT_specific
0	WT_specific
8689	WT_specific
1783	WT_specific
154	WT_specific
0	WT_specific
23666	WT_specific
9058	WT_specific
7273	WT_specific
2278	WT_specific
838	WT_specific
25020	WT_specific
0	WT_specific
4420	WT_specific
0	WT_specific
9428	WT_specific
1424	WT_specific
0	WT_specific
713	WT_specific
2731	WT_specific
0	WT_specific
716	WT_specific
0	WT_specific
0	WT_specific
0	WT_specific
302	WT_specific
6472	WT_specific
0	WT_specific
0	WT_specific
10713	WT_specific
2648	WT_specific
17265	WT_specific
47467	WT_specific
148	WT_specific
30318	WT_specific
2020	WT_specific
5808	WT_specific
0	WT_specific
12573	WT_specific
0	WT_specific
1348	WT_specific
645	WT_specific
0	WT_specific
1050	WT_specific
7984	WT_specific
1358	WT_specific
30453	WT_specific
44608	WT_specific
26364	WT_specific
19073	WT_specific
9135	WT_specific
12057	WT_specific
19292	WT_specific
31134	WT_specific
0	WT_specific
8331	WT_specific
37413	WT_specific
31984	WT_specific
19524	WT_specific
28811	WT_specific
30380	WT_specific
36778	WT_specific
40234	WT_specific
36414	WT_specific
15616	WT_specific
4021	WT_specific
2426	WT_specific
0	WT_specific
2597	WT_specific
6109	WT_specific
6967	WT_specific
0	WT_specific
5840	WT_specific
17705	WT_specific
4467	WT_specific
16134	WT_specific
13523	WT_specific
19688	WT_specific
17917	WT_specific
8236	WT_specific
0	WT_specific
3358	WT_specific
1521	WT_specific
3382	WT_specific
4961	WT_specific
10992	WT_specific
0	WT_specific
0	WT_specific
0	WT_specific
8633	WT_specific
12175	WT_specific
2555	WT_specific
0	WT_specific
15324	WT_specific
24470	WT_specific
30338	WT_specific
44491	WT_specific
8392	WT_specific
23439	WT_specific
28238	WT_specific
14443	WT_specific
0	WT_specific
38	WT_specific
3854	WT_specific
2868	WT_specific
0	WT_specific
2090	WT_specific
2876	WT_specific
11814	WT_specific
24917	WT_specific
26510	WT_specific
36337	WT_specific
54511	WT_specific
70412	WT_specific
71059	WT_specific
70088	WT_specific
66535	WT_specific
62610	WT_specific
57654	WT_specific
11979	WT_specific
0	WT_specific
3098	WT_specific
3402	WT_specific
0	WT_specific
31262	WT_specific
40385	WT_specific
46718	WT_specific
41203	WT_specific
40260	WT_specific
26316	WT_specific
23231	WT_specific
598	WT_specific
2463	WT_specific
9292	WT_specific
1918	WT_specific
5971	WT_specific
0	WT_specific
2234	WT_specific
2156	WT_specific
17213	WT_specific
24198	WT_specific
6735	WT_specific
263	WT_specific
10279	WT_specific
0	WT_specific
2087	WT_specific
35252	WT_specific
30235	WT_specific
17805	WT_specific
1686	WT_specific
7677	WT_specific
6850	WT_specific
2903	WT_specific
786	WT_specific
36005	WT_specific
6079	WT_specific
8465	WT_specific
0	WT_specific
18294	WT_specific
19188	WT_specific
6366	WT_specific
11100	WT_specific
16008	WT_specific
1283	WT_specific
20948	WT_specific
1630	WT_specific
13420	WT_specific
10859	WT_specific
6457	WT_specific
1715	WT_specific
289	WT_specific
6109	WT_specific
34120	WT_specific
24221	WT_specific
0	WT_specific
11023	WT_specific
21231	WT_specific
48423	WT_specific
49309	WT_specific
34103	WT_specific
1417	WT_specific
16097	WT_specific
47234	WT_specific
59660	WT_specific
45277	WT_specific
38103	WT_specific
27028	WT_specific
9694	WT_specific
1667	WT_specific
7191	WT_specific
3837	WT_specific
2845	WT_specific
0	WT_specific
0	WT_specific
126	WT_specific
0	WT_specific
3735	WT_specific
4434	WT_specific
11715	WT_specific
6032	WT_specific
3372	WT_specific
7411	WT_specific
16409	WT_specific
29566	WT_specific
29896	WT_specific
1186	WT_specific
15942	WT_specific
0	WT_specific
0	WT_specific
0	WT_specific
33627	WT_specific
5845	WT_specific
5619	WT_specific
9035	WT_specific
7608	WT_specific
257	WT_specific
18438	WT_specific
13955	WT_specific
5268	WT_specific
932	WT_specific
8900	WT_specific
0	WT_specific
18270	WT_specific
0	WT_specific
1905	WT_specific
6728	WT_specific
7727	WT_specific
16216	WT_specific
6867	WT_specific
5164	WT_specific
408	WT_specific
3875	WT_specific
4504	WT_specific
0	WT_specific
4555	WT_specific
15702	WT_specific
19469	WT_specific
45471	WT_specific
53189	WT_specific
67677	WT_specific
77485	WT_specific
83524	WT_specific
88521	WT_specific
72230	WT_specific
71197	WT_specific
2679	WT_specific
1719	WT_specific
0	WT_specific
3592	WT_specific
505	WT_specific
0	WT_specific
7476	WT_specific
6912	WT_specific
5405	WT_specific
1153	WT_specific
24625	WT_specific
9574	WT_specific
2070	WT_specific
0	WT_specific
8358	WT_specific
593	WT_specific
19783	WT_specific
27472	WT_specific
5900	WT_specific
1149	WT_specific
11284	WT_specific
11784	WT_specific
25807	WT_specific
0	WT_specific
11809	WT_specific
9290	WT_specific
5733	WT_specific
6686	WT_specific
14443	WT_specific
20085	WT_specific
23050	WT_specific
24375	WT_specific
28290	WT_specific
30136	WT_specific
32325	WT_specific
46580	WT_specific
0	WT_specific
0	WT_specific
14649	WT_specific
93	WT_specific
2256	WT_specific
18411	WT_specific
1496	WT_specific
1227	WT_specific
9694	WT_specific
0	WT_specific
8287	WT_specific
12501	WT_specific
2747	WT_specific
8472	WT_specific
7891	WT_specific
3433	WT_specific
19674	WT_specific
35308	WT_specific
23586	WT_specific
17068	WT_specific
3172	WT_specific
2055	WT_specific
1206	WT_specific
16270	WT_specific
0	WT_specific
12067	WT_specific
4744	WT_specific
10612	WT_specific
18927	WT_specific
0	WT_specific
4944	WT_specific
6378	WT_specific
9865	WT_specific
3693	WT_specific
5196	WT_specific
1409	WT_specific
2929	WT_specific
17522	WT_specific
7427	WT_specific
0	WT_specific
4872	WT_specific
11834	WT_specific
9371	WT_specific
3680	WT_specific
0	WT_specific
2397	WT_specific
9466	WT_specific
4241	WT_specific
4465	WT_specific
84	WT_specific
12614	WT_specific
3234	WT_specific
9105	WT_specific
2556	WT_specific
26715	WT_specific
0	WT_specific
66096	WT_specific
3948	WT_specific
1326	WT_specific
32063	WT_specific
34004	WT_specific
12061	WT_specific
0	WT_specific
15870	WT_specific
7881	WT_specific
19261	WT_specific
3048	WT_specific
17527	WT_specific
26294	WT_specific
15719	WT_specific
12244	WT_specific
20227	WT_specific
18566	WT_specific
14669	WT_specific
12227	WT_specific
2853	WT_specific
2367	WT_specific
0	WT_specific
9519	WT_specific
33691	WT_specific
3888	WT_specific
13235	WT_specific
23295	WT_specific
24222	WT_specific
26564	WT_specific
7516	WT_specific
13316	WT_specific
7878	WT_specific
4294	WT_specific
1195	WT_specific
3307	WT_specific
0	WT_specific
6786	WT_specific
12482	WT_specific
4960	WT_specific
10795	WT_specific
22553	WT_specific
0	WT_specific
11470	WT_specific
0	WT_specific
16446	WT_specific
10718	WT_specific
7931	WT_specific
13955	WT_specific
21502	WT_specific
18521	WT_specific
15585	WT_specific
1757	WT_specific
79430	WT_specific
93150	WT_specific
84749	WT_specific
43076	WT_specific
37715	WT_specific
0	WT_specific
0	WT_specific
8763	WT_specific
12401	WT_specific
14303	WT_specific
16577	WT_specific
14289	WT_specific
3070	WT_specific
0	WT_specific
1535	WT_specific
27019	WT_specific
41103	WT_specific
42305	WT_specific
49326	WT_specific
44180	WT_specific
2172	WT_specific
5557	WT_specific
14233	WT_specific
6349	WT_specific
1436	WT_specific
2498	WT_specific
3850	WT_specific
0	WT_specific
10550	WT_specific
15583	WT_specific
16279	WT_specific
18227	WT_specific
20225	WT_specific
20582	WT_specific
12981	WT_specific
7585	WT_specific
33990	WT_specific
20750	WT_specific
5704	WT_specific
5054	WT_specific
12988	WT_specific
22506	WT_specific
6847	WT_specific
5224	WT_specific
6748	WT_specific
0	WT_specific
5671	WT_specific
3073	WT_specific
31231	WT_specific
0	WT_specific
1921	WT_specific
7013	WT_specific
17027	WT_specific
30386	WT_specific
13880	WT_specific
7230	WT_specific
1198	WT_specific
7467	WT_specific
13739	WT_specific
24245	WT_specific
54704	WT_specific
65876	WT_specific
6190	WT_specific
5539	WT_specific
6923	WT_specific
4548	WT_specific
2522	WT_specific
14876	WT_specific
