chrom	start	end
chr1	680000	1260000
chr1	1280000	1500000
chr1	1520000	1860000
chr1	1880000	2080000
chr1	2100000	2300000
chr1	2320000	2680000
chr1	2700000	3360000
chr1	3380000	3780000
chr1	4000000	6000000
chr1	6020000	6280000
chr1	6300000	6520000
chr1	6540000	6720000
chr1	6740000	7260000
chr1	7280000	7720000
chr1	7740000	7980000
chr1	8000000	8420000
chr1	8440000	8920000
chr1	8940000	9660000
chr1	9680000	9940000
chr1	9960000	10500000
chr1	10520000	11060000
chr1	11080000	11880000
chr1	11900000	12000000
chr1	12020000	12320000
chr1	12340000	12800000
chr1	13760000	14280000
chr1	14300000	15400000
chr1	15420000	15640000
chr1	15660000	15820000
chr1	15840000	16080000
chr1	16100000	16340000
chr1	16360000	16820000
chr1	16840000	17240000
chr1	17260000	17760000
chr1	17780000	17940000
chr1	17960000	18900000
chr1	18920000	19200000
chr1	19220000	19560000
chr1	19580000	20020000
chr1	20040000	20180000
chr1	20200000	20500000
chr1	20520000	20840000
chr1	20860000	20980000
chr1	21000000	21520000
chr1	21540000	21680000
chr1	21700000	21940000
chr1	21960000	22360000
chr1	22380000	22740000
chr1	22760000	22980000
chr1	23000000	23280000
chr1	23300000	23660000
chr1	23680000	23840000
chr1	23860000	24080000
chr1	24380000	24720000
chr1	24740000	24980000
chr1	25000000	25160000
chr1	25180000	25560000
chr1	25580000	25860000
chr1	25880000	26180000
chr1	26200000	26340000
chr1	26360000	26780000
chr1	26800000	27260000
chr1	27280000	27620000
chr1	27640000	28040000
chr1	28060000	28540000
chr1	28560000	28940000
chr1	28960000	29180000
chr1	29200000	29540000
chr1	30040000	31180000
chr1	31200000	31400000
chr1	31420000	31620000
chr1	31640000	32060000
chr1	32080000	32260000
chr1	32280000	32620000
chr1	32640000	32820000
chr1	32840000	33320000
chr1	33340000	33560000
chr1	33580000	33980000
chr1	34000000	34060000
chr1	34080000	35240000
chr1	35260000	35620000
chr1	35640000	35880000
chr1	35900000	36300000
chr1	36320000	36520000
chr1	36540000	36940000
chr1	36960000	37880000
chr1	37900000	38480000
chr1	38500000	39300000
chr1	39320000	39500000
chr1	39520000	40040000
chr1	40060000	40240000
chr1	40260000	40500000
chr1	40520000	40940000
chr1	40960000	41460000
chr1	41480000	41700000
chr1	41720000	41940000
chr1	41960000	42600000
chr1	42620000	43260000
chr1	43280000	43620000
chr1	43640000	43920000
chr1	43940000	44160000
chr1	44180000	44520000
chr1	44540000	45160000
chr1	45180000	45460000
chr1	45480000	45800000
chr1	45820000	46040000
chr1	46060000	46480000
chr1	46500000	46800000
chr1	46820000	47200000
chr1	47220000	47640000
chr1	47660000	47780000
chr1	47800000	47860000
chr1	47880000	48200000
chr1	48220000	48520000
