V1	V2	V3	V4	V5	V6	X0h1	X0h2	X24h1	X24h2	norm.0h1	norm.0h2	norm.24h1	norm.24h2	true.pval	bg.pval1	bg.pval2	total.count	logfc	label	diff2[, 20]	labelmerge
chr1	910000	920000	chr1	1220000	1230000	51	37	12	10	35.4796437645813	25.1950652846653	16.9153675892408	14.9753495259662	0.00325569883083973	0.0799415373514674	0.109853108149998	110	-0.927958745976251	Decreased	Decreased	DecreasedDecreased
chr1	930000	940000	chr1	990000	1000000	152	146	33	38	109.017569909251	102.712116622801	45.1130308814728	55.0901301572593	7.98026641578568e-10	0.515208348755613	0.202402667249016	369	-1.07929554226645	Decreased	Unchanged	DecreasedUnchanged
chr1	1050000	1060000	chr1	1190000	1200000	77	77	24	22	53.9913922852926	52.9408635244077	33.5930822883547	32.6024300216974	0.00200556355245125	0.486803027538764	0.49471339131182	200	-0.69189178483958	Decreased	Decreased	DecreasedDecreased
chr1	1340000	1350000	chr1	1430000	1440000	95	111	40	28	67.4358018486356	77.4142950065194	55.1885984303292	40.992419537948	0.00175752481555438	0.402826982492558	0.0850817700476015	274	-0.59073654856089	Decreased	Unchanged	DecreasedUnchanged
chr1	1600000	1610000	chr1	1660000	1670000	72	71	29	28	51.6399015359611	49.9490430151978	39.6447847140215	40.5927274842963	0.0741031360538738	0.491187389202908	0.436607362015274	200	-0.340394628590701	Unchanged	Unchanged	UnchangedUnchanged
chr1	1680000	1690000	chr1	1970000	1980000	36	35	9	9	25.0449033086982	23.8824287565722	12.6430055210827	13.496071990254	0.00865087306430992	0.514894518780693	0.435846945997681	89	-0.904432389816491	Unchanged	Unchanged	UnchangedUnchanged
chr1	1880000	1890000	chr1	1970000	1980000	270	276	76	65	191.65964735928	192.489598394589	104.858337017625	95.1609739273792	1.87735321074316e-13	0.480078890943227	0.421472000284639	687	-0.941527628745292	Decreased	Unchanged	DecreasedUnchanged
chr1	1880000	1890000	chr1	2080000	2090000	48	49	13	21	33.4448158181922	33.4911572433543	18.2912415781386	31.3399151198362	0.0712354918645901	0.231790153260743	0.239596111528625	131	-0.431535681276039	Unchanged	Decreased	UnchangedDecreased
chr1	2130000	2140000	chr1	2310000	2320000	127	133	32	52	88.5969380831962	90.8162793220668	45.0102096295978	77.6095615933981	0.000885548541279339	0.0821025220488917	0.155530982928666	344	-0.549094559722302	Unchanged	Decreased	UnchangedDecreased
chr1	2160000	2170000	chr1	2210000	2220000	100	79	30	25	72.021845227828	55.7722635018604	40.846934472141	36.1115700911502	0.000443176232955983	0.0565804671977463	0.108526905674929	234	-0.731668659570896	Decreased	Unchanged	DecreasedUnchanged
chr1	2350000	2360000	chr1	2480000	2490000	100	111	20	27	70.2428097999481	76.604848292789	27.859588788539	39.9837850741865	1.50178868844563e-07	0.130631637198552	0.521930533780166	258	-1.11404043566236	Decreased	Unchanged	DecreasedUnchanged
